Date,Buyer,Title
04/14/1718,"brown, daniel i",aesop lestrange
04/14/1718,"brown, daniel i",anderson reports
04/14/1718,"brown, daniel i",bona eternity
04/14/1718,"brown, daniel i",brevia juridicialia
04/14/1718,"brown, daniel i",bridgeman reports
04/14/1718,"brown, daniel i",brown entries
04/14/1718,"brown, daniel i",bulstrode reports
04/14/1718,"brown, daniel i",callis readings
04/14/1718,"brown, daniel i",carter reports
04/14/1718,"brown, daniel i",clerk guide
04/14/1718,"brown, daniel i",coke reports
04/14/1718,"brown, daniel i",collier essays
04/14/1718,"brown, daniel i",conceit of court
04/14/1718,"brown, daniel i",croke reports
04/14/1718,"brown, daniel i",erasmus
04/14/1718,"brown, daniel i",fleta
04/14/1718,"brown, daniel i",glisson and gulson
04/14/1718,"brown, daniel i",hearne reading
04/14/1718,"brown, daniel i",hutton reports
04/14/1718,"brown, daniel i",interpreter
04/14/1718,"brown, daniel i",jones reports
04/14/1718,"brown, daniel i",lane reports
04/14/1718,"brown, daniel i",latch reports
04/14/1718,"brown, daniel i",lee reports
04/14/1718,"brown, daniel i",leonard reports
04/14/1718,"brown, daniel i",love letters
04/14/1718,"brown, daniel i",mackenzie frugality
04/14/1718,"brown, daniel i",mackenzie reason
04/14/1718,"brown, daniel i",michel de montaigne essays
04/14/1718,"brown, daniel i",modern reports
04/14/1718,"brown, daniel i",modus intrandi
04/14/1718,"brown, daniel i",new years gift
04/14/1718,"brown, daniel i",officina brevium
04/14/1718,"brown, daniel i",oldham works
04/14/1718,"brown, daniel i",owen reports
04/14/1718,"brown, daniel i",parson counsellor
04/14/1718,"brown, daniel i",register of writs
04/14/1718,"brown, daniel i",roll abridgement
04/14/1718,"brown, daniel i",saunders reports
04/14/1718,"brown, daniel i",seneca
04/14/1718,"brown, daniel i",several trials
04/14/1718,"brown, daniel i",thesaurus brevium
04/14/1718,"brown, daniel i",townsend historical collections
04/14/1718,"brown, daniel i",trial of the seven bishops
04/14/1718,"brown, daniel i",turkish spy
04/14/1718,"brown, daniel i",view of the stage and defence
04/14/1718,"brown, daniel i",winch reports
04/14/1718,"brown, daniel ii",aesop lestrange
04/14/1718,"brown, daniel ii",anderson reports
04/14/1718,"brown, daniel ii",bona eternity
04/14/1718,"brown, daniel ii",brevia juridicialia
04/14/1718,"brown, daniel ii",bridgeman reports
04/14/1718,"brown, daniel ii",brown entries
04/14/1718,"brown, daniel ii",bulstrode reports
04/14/1718,"brown, daniel ii",callis readings
04/14/1718,"brown, daniel ii",carter reports
04/14/1718,"brown, daniel ii",clerk guide
04/14/1718,"brown, daniel ii",coke reports
04/14/1718,"brown, daniel ii",collier essays
04/14/1718,"brown, daniel ii",conceit of court
04/14/1718,"brown, daniel ii",croke reports
04/14/1718,"brown, daniel ii",erasmus
04/14/1718,"brown, daniel ii",fleta
04/14/1718,"brown, daniel ii",glisson and gulson
04/14/1718,"brown, daniel ii",hearne reading
04/14/1718,"brown, daniel ii",hutton reports
04/14/1718,"brown, daniel ii",interpreter
04/14/1718,"brown, daniel ii",jones reports
04/14/1718,"brown, daniel ii",lane reports
04/14/1718,"brown, daniel ii",latch reports
04/14/1718,"brown, daniel ii",lee reports
04/14/1718,"brown, daniel ii",leonard reports
04/14/1718,"brown, daniel ii",love letters
04/14/1718,"brown, daniel ii",mackenzie frugality
04/14/1718,"brown, daniel ii",mackenzie reason
04/14/1718,"brown, daniel ii",michel de montaigne essays
04/14/1718,"brown, daniel ii",modern reports
04/14/1718,"brown, daniel ii",modus intrandi
04/14/1718,"brown, daniel ii",new years gift
04/14/1718,"brown, daniel ii",officina brevium
04/14/1718,"brown, daniel ii",oldham works
04/14/1718,"brown, daniel ii",owen reports
04/14/1718,"brown, daniel ii",parson counsellor
04/14/1718,"brown, daniel ii",register of writs
04/14/1718,"brown, daniel ii",roll abridgement
04/14/1718,"brown, daniel ii",saunders reports
04/14/1718,"brown, daniel ii",seneca
04/14/1718,"brown, daniel ii",several trials
04/14/1718,"brown, daniel ii",thesaurus brevium
04/14/1718,"brown, daniel ii",townsend historical collections
04/14/1718,"brown, daniel ii",trial of the seven bishops
04/14/1718,"brown, daniel ii",turkish spy
04/14/1718,"brown, daniel ii",view of the stage and defence
04/14/1718,"brown, daniel ii",winch reports
04/14/1718,"cowse, benjamin",comber catechism
04/14/1718,"cowse, benjamin",comber epitome
04/14/1718,"cowse, benjamin",comber works
04/14/1718,"cowse, benjamin",defence of pluralities
04/14/1718,"cowse, benjamin",delphin juvenal
04/14/1718,"cowse, benjamin",dictionary boyer
04/14/1718,"cowse, benjamin",drelincourt death
04/14/1718,"cowse, benjamin",everard gauging
04/14/1718,"cowse, benjamin",everard irish gauging
04/14/1718,"cowse, benjamin",frauds of romish priests
04/14/1718,"cowse, benjamin",golden rule
04/14/1718,"cowse, benjamin",isham catechism
04/14/1718,"cowse, benjamin",isham forms of devotion
04/14/1718,"cowse, benjamin",isham office for sick
04/14/1718,"cowse, benjamin",juvenal ciceronis orations
04/14/1718,"cowse, benjamin",juvenal florus
04/14/1718,"cowse, benjamin",lancashire witches
04/14/1718,"cowse, benjamin",leusden compendium
04/14/1718,"cowse, benjamin",rules of civility
04/14/1718,"cowse, benjamin",smith rhetoric
04/14/1718,"cowse, benjamin",state of ireland
04/14/1718,"cowse, benjamin",sufferings of clergy
04/14/1718,"ford, richard",allain guide to heaven
04/14/1718,"ford, richard",allein alarm
04/14/1718,"ford, richard",baxter life
04/14/1718,"ford, richard",baxter life abridged
04/14/1718,"ford, richard",burkitt on baptism
04/14/1718,"ford, richard",burkitt poor man help
04/14/1718,"ford, richard",bury hymns
04/14/1718,"ford, richard",calamy godly man ark
04/14/1718,"ford, richard",catechism
04/14/1718,"ford, richard",doolittle catechism
04/14/1718,"ford, richard",flavel fear
04/14/1718,"ford, richard",flavel fountain of life
04/14/1718,"ford, richard",flavel method of grace
04/14/1718,"ford, richard",flavel navigation spiritualised
04/14/1718,"ford, richard",flavel providence
04/14/1718,"ford, richard",flavel soul
04/14/1718,"ford, richard",flavel suffering
04/14/1718,"ford, richard",flavel touchstone sincer
04/14/1718,"ford, richard",grammar wase
04/14/1718,"ford, richard",henry family religion
04/14/1718,"ford, richard",henry four discourses
04/14/1718,"ford, richard",henry friendly visits
04/14/1718,"ford, richard",henry great britain joys
04/14/1718,"ford, richard",henry hymns
04/14/1718,"ford, richard",henry of meekness
04/14/1718,"ford, richard",henry philip life
04/14/1718,"ford, richard",henry sacrament
04/14/1718,"ford, richard",henry scripture catechism
04/14/1718,"ford, richard",henry sermons
04/14/1718,"ford, richard",ja[sic] life
04/14/1718,"ford, richard",looking glass
04/14/1718,"ford, richard",lye spelling
04/14/1718,"ford, richard",mason hymns
04/14/1718,"ford, richard",meads christian
04/14/1718,"ford, richard",poole annotations
04/14/1718,"ford, richard",shower sacrament
04/14/1718,"ford, richard",spelling ronksley
04/14/1718,"ford, richard",vestibulum technicum
04/14/1718,"ford, richard",vincent of catechism
04/14/1718,"ford, richard",vincent of prayer
04/14/1718,"ford, richard",watson body of divinity
04/14/1718,"knaplock, robert",against dissenters
04/14/1718,"knaplock, robert",assize of bread
04/14/1718,"knaplock, robert",bacon essays
04/14/1718,"knaplock, robert",ben jonson plays
04/14/1718,"knaplock, robert",brown works
04/14/1718,"knaplock, robert",cicero orations
04/14/1718,"knaplock, robert",counter scuffle
04/14/1718,"knaplock, robert",hebrew grammar
04/14/1718,"knaplock, robert",help to history
04/14/1718,"knaplock, robert",josephus
04/14/1718,"knaplock, robert",juramenti
04/14/1718,"knaplock, robert",juvenal
04/14/1718,"knaplock, robert",lucian dialogues
04/14/1718,"knaplock, robert",mother blessing
04/14/1718,"knaplock, robert",pharmacopoeia
04/14/1718,"knaplock, robert",polity
04/14/1718,"knaplock, robert",salmon dispensatory
04/14/1718,"knaplock, robert",salmon doron medicum
04/14/1718,"knaplock, robert",tithing table
04/14/1718,"knaplock, robert",trials regicides
04/14/1718,"knaplock, robert",wilkins natural religion
04/14/1718,"knaplock, robert",wilkins sermons
04/14/1718,"robinson, ranew",arithmetic hodder
04/14/1718,"robinson, ranew",assize of bread
04/14/1718,"robinson, ranew",bacon essays
04/14/1718,"robinson, ranew",ben jonson plays
04/14/1718,"robinson, ranew",brown works
04/14/1718,"robinson, ranew",burnet abridged
04/14/1718,"robinson, ranew",burnet articles
04/14/1718,"robinson, ranew",burnet reformation
04/14/1718,"robinson, ranew",cave christianity
04/14/1718,"robinson, ranew",chillingsworth works
04/14/1718,"robinson, ranew",cicero orations
04/14/1718,"robinson, ranew",clerk guide
04/14/1718,"robinson, ranew",comber altar
04/14/1718,"robinson, ranew",conant sermons
04/14/1718,"robinson, ranew",counter scuffle
